,train acc,test acc
0,0.02073365231259968,0.0215311004784689
1,0.035287081339712915,0.0215311004784689
2,0.04764752791068581,0.05582137161084529
3,0.05761562998405104,0.05502392344497608
4,0.0687799043062201,0.06060606060606061
5,0.07635566188197768,0.06778309409888357
6,0.09549441786283891,0.07496012759170655
7,0.10127591706539076,0.08452950558213716
8,0.11642743221690591,0.10685805422647528
9,0.12739234449760767,0.10526315789473684
10,0.1343700159489633,0.11403508771929825
11,0.14613237639553428,0.13237639553429026
12,0.16088516746411483,0.12041467304625199
13,0.17464114832535885,0.1499202551834131
14,0.1848086124401914,0.18819776714513556
15,0.20972886762360446,0.18580542264752792
16,0.21012759170653908,0.18421052631578946
17,0.22348484848484848,0.1850079744816587
18,0.23983253588516745,0.19457735247208932
19,0.2553827751196172,0.20813397129186603
20,0.2631578947368421,0.21850079744816586
21,0.2769138755980861,0.22089314194577353
22,0.2970494417862839,0.22966507177033493
23,0.3131977671451356,0.22727272727272727
24,0.33393141945773525,0.2631578947368421
25,0.3588516746411483,0.27751196172248804
26,0.35287081339712917,0.259170653907496
27,0.3871610845295056,0.291866028708134
28,0.41108452950558216,0.2703349282296651
29,0.4258373205741627,0.28149920255183414
30,0.43600478468899523,0.291866028708134
31,0.4445773524720893,0.2902711323763955
32,0.4663078149920255,0.27751196172248804
33,0.4910287081339713,0.2783094098883573
34,0.5099681020733652,0.3293460925039872
35,0.5153508771929824,0.3229665071770335
36,0.5544258373205742,0.34768740031897927
37,0.5651913875598086,0.30462519936204147
38,0.5651913875598086,0.3333333333333333
39,0.580542264752791,0.3022328548644338
40,0.5972886762360446,0.3317384370015949
41,0.6253987240829346,0.3373205741626794
42,0.6600877192982456,0.3317384370015949
43,0.6608851674641149,0.34210526315789475
44,0.6784290271132376,0.37719298245614036
45,0.6977671451355661,0.35566188197767146
46,0.7115231259968102,0.3532695374800638
47,0.7322567783094099,0.3652312599681021
48,0.7517942583732058,0.3548644338118022
49,0.7601674641148325,0.3548644338118022
50,0.7751196172248804,0.3660287081339713
51,0.7779106858054227,0.37719298245614036
52,0.803030303030303,0.3843700159489633
53,0.8225677830940988,0.3827751196172249
54,0.8261562998405104,0.3580542264752791
55,0.8590510366826156,0.39074960127591707
56,0.8470893141945773,0.37161084529505584
57,0.8640350877192983,0.3787878787878788
58,0.8712121212121212,0.38118022328548645
59,0.884768740031898,0.3875598086124402
